Expert ID;T1_abandon;T2_grazing;T3_forest;T4_urban;T5_leisure;T6_hunting;T7_energy;T8_mining;T9_fire;T10_climate
1;3;2;1;2;3;1;0;0;0;1
2;2;2;2;3;3;3;1;0;1;2
3;2;2;0;3;3;2;1;1;1;2
4;0;2;2;1;2;2;0;0;0;2
5;1;3;2;3;3;2;0;0;1;2
6;2;3;3;2;1;2;1;0;1;2
7;2;1;1;0;2;1;0;0;0;1
8;2;2;3;3;3;3;3;1;1;2
9;0;1;0;1;3;3;0;0;0;1
10;2;1;1;1;1;3;0;0;1;3
11;1;3;1;2;3;3;2;0;1;2
12;2;0;0;2;3;2;0;0;0;2
13;1;2;1;3;3;2;0;0;2;0
14;0;2;3;3;3;3;0;0;3;3
15;3;2;2;1;2;1;2;0;0;0
16;2;1;0;2;2;1;2;0;0;2
17;1;2;1;2;3;1;1;1;1;1
18;3;3;3;3;3;3;3;0;1;3
19;2;2;2;3;3;1;3;0;0;3
