Spp;Transect;Point;visits;count;canopy;shrub;grass;rock;trees;stumps;alt
CH;G01;1;2;6;80;20;10;10;88;1;1959
CH;G01;2;2;5;60;20;20;10;54;1;2010
CH;G01;3;2;4;30;30;60;5;35;0;2135
CH;G01;4;2;2;5;50;30;10;2;0;2166
CH;S02;1;2;5;50;10;40;0;84;0;1867
CH;S02;2;2;5;40;30;30;0;64;2;1937
CH;S02;3;2;3;40;20;50;0;54;0;2023
CH;S02;4;3;0;5;5;90;5;1;0;2084
CH;S02;T2;2;0;5;0;95;5;4;0;2153
CH;S03;1;2;5;40;5;0;40;62;3;1763
CH;S03;2;3;7;80;10;10;10;90;4;1896
CH;S03;3;2;3;70;10;10;10;85;1;1968
CH;S03;4;2;5;70;20;20;5;67;0;2037
CH;S03;5;2;2;30;20;60;0;17;0;2098
CH;S03;6;2;0;10;30;65;5;5;0;2191
CH;S03;7;2;0;5;20;60;20;3;0;2244
CH;S04;1;1;2;70;5;0;30;54;o;1725
CH;S04;2;1;1;75;10;0;20;72;0;1825
CH;S07;1;2;2;50;10;40;0;66;3;1889
CH;S07;2;2;5;80;10;10;10;66;0;1977
CH;S07;3;2;5;90;5;10;5;80;0;2027
CH;S07;4;1;1;70;70;0;20;10;0;2207
CH;S07;5;1;1;50;20;20;5;49;4;2223
CH;S07;6;1;2;30;30;30;10;20;0;2313
CH;S07;7;1;0;10;5;60;20;16;0;2376
CH;S08;1;2;4;70;5;20;5;73;9;1726
CH;S08;2;2;3;30;0;70;0;42;2;1801
CH;S08;3;2;1;10;0;90;0;60;0;1930
CH;S08;4;1;1;30;5;70;5;39;0;1992
CH;S10;1;2;4;50;5;10;10;114;0;2016
CH;S10;2;2;2;10;10;70;20;210;0;2104
CH;S10;3;2;2;10;80;5;10;1;0;2211
CH;S10;X1;1;2;70;0;20;40;113;3;1906
CH;S11;1;1;2;60;30;10;5;72;2;1918
CH;S11;2;1;2;60;20;10;5;95;6;2014
CH;S11;3;1;0;50;10;20;5;81;2;2096
CH;S11;4;1;1;40;50;0;0;35;1;2199
CH;S11;5;1;1;30;20;30;10;4;1;2277
CH;SX;1;1;2;75;10;0;20;27;0;1789
CH;SX;2;1;0;15;50;10;30;66;0;1870
CH;T13;1;3;6;40;5;50;5;56;0;1840
CH;T13;2;3;6;40;10;40;5;67;8;1850
CH;T13;3;3;5;70;5;10;0;163;25;2040
CH;T13;4;2;7;90;5;10;0;218;8;2098
CH;T13;5;2;8;90;5;5;0;132;7;2146
CH;T13;6;3;8;40;50;20;10;49;0;2206
CH;T13;7;2;2;30;60;10;10;33;0;2263
CH;T13;8;3;0;10;50;40;5;0;0;2309
CH;T13;10;3;0;5;30;40;30;0;0;2396
CH;T16;1;4;4;60;0;40;0;116;15;1854
CH;T16;2;3;6;50;10;60;0;70;0;1967
CH;T16;3;3;3;20;10;70;0;30;0;2075
CH;T16;4;3;3;20;40;60;5;17;0;2199
CH;T16;5;2;2;20;60;20;0;48;0;2282
CH;T16;6;2;1;5;50;5;40;0;0;2363
CH;T16;7;3;0;5;70;30;5;0;0;2452
CH;T17;2;1;1;25;5;60;0;48;0;2031
CH;T17;3;1;0;10;5;90;0;21;0;2090
CH;T22;1;2;2;100;0;0;0;201;5;1863
CH;T22;2;1;3;40;10;50;5;43;6;1894
CH;T22;3;2;7;30;20;50;0;41;7;1963
CH;T22;4;1;2;30;5;70;5;28;4;2044
CH;T22;5;1;2;35;35;20;10;26;4;2115
CH;T22;6;1;0;10;40;40;10;13;0;2198
CH;T24;1;2;4;80;5;10;0;173;1;1717
CH;T24;2;2;5;90;10;10;0;106;0;1767
CH;T24;3;2;3;40;20;30;5;42;0;1838
CH;T24;4;2;0;5;40;50;10;4;0;1954
CH;T25;1;1;1;80;30;0;10;39;0;1895
CH;T25;2;1;0;5;5;0;90;2;0;2011
CH;T26;1;3;7;50;0;50;0;73;0;1975
CH;T26;2;3;10;70;5;20;0;79;30;2046
CH;T26;3;3;6;60;20;10;0;55;0;2103
CH;T26;4;3;4;50;30;10;0;52;0;2176
CH;T26;5;3;2;60;20;20;10;60;0;2205
CH;T26;6;3;0;20;10;50;20;14;0;2275
CH;T26;7;3;0;10;10;70;10;0;0;2310
CH;T26;8;3;0;5;5;60;40;0;0;2371
CH;T27;1;2;5;100;30;0;5;182;0;1873
CH;T27;2;2;2;90;60;5;5;158;0;1971
CH;T27;3;1;0;50;20;0;30;81;0;2105
CH;T27;4;2;2;90;30;5;0;120;1;2203
CH;T27;5;1;0;60;80;0;20;31;0;2262
CH;T27;6;2;1;10;60;10;20;7;0;2302
CH;T34;1;1;4;70;10;20;0;31;0;1824
CH;T34;2;2;4;70;5;10;5;58;8;1910
CH;T34;3;1;1;30;10;40;10;40;0;2063
CH;T34;4;1;1;20;20;40;10;10;0;2146
CH;T34;5;2;0;5;20;70;5;4;0;2162
CH;T34;X2;1;3;70;20;5;5;62;0;2092
CH;T35;1;2;0;50;5;40;5;88;6;1869
CH;T35;2;1;3;50;5;40;5;61;7;1924
CH;T35;3;2;2;10;10;75;5;11;0;2070
CH;T35;4;3;2;20;10;70;5;40;0;2138
CH;T35;5;2;0;20;90;5;0;22;0;2203
CH;T37;1;2;4;50;5;10;40;63;0;1906
CH;T37;2;3;5;80;20;0;0;126;15;2113
CH;T37;3;3;10;40;40;10;0;28;0;2163
CH;T37;4;2;6;60;50;10;5;54;1;2205
CH;T37;5;2;2;60;20;10;0;23;0;2261
CH;T37;6;1;2;10;50;20;20;4;0;2350
CH;T37;X1;1;1;60;70;10;5;96;6;2147
CH;T37;X2;1;4;20;60;30;5;35;0;2259
CH;T38;1;1;2;70;60;0;5;111;5;1723
CH;T40;1;1;2;30;10;0;5;23;6;1798
CH;T40;2;1;3;60;50;20;20;62;9;1897
CH;T40;3;1;0;40;70;10;10;35;0;2106
CH;T40;5;1;1;30;90;0;5;35;0;2239
CH;T41;1;1;0;30;10;50;5;68;4;1920
CH;T41;2;1;1;70;30;0;0;143;0;1970
CH;T42;1;2;3;80;40;0;10;179;0;1800
CH;T42;2;1;2;90;20;0;5;125;4;1887
CH;T42;3;1;1;20;80;0;5;12;5;1979
CH;T42;4;1;1;40;40;20;5;32;5;2089
CH;T42;5;1;1;20;50;0;0;17;0;2172
CH;T42;X1;1;1;50;20;0;10;46;3;2032
CH;T42;X2;1;1;50;20;40;10;83;1;1728
CH;T43;1;2;0;5;30;60;5;4;0;1918
CH;Z02;1;1;2;20;40;30;20;17;0;1749
CH;Z03;1;1;2;25;0;60;10;23;0;1743
CH;Z03;2;2;6;40;40;10;10;53;0;1737
CH;Z03;3;2;4;30;30;20;10;38;0;1850
CH;Z03;4;3;0;5;20;30;50;2;0;2000
CH;Z03;5;3;0;5;30;20;50;0;0;2056
CH;Z04;1;3;8;30;15;50;10;53;0;1804
CH;Z04;2;2;2;20;10;70;20;22;1;1981
CH;Z04;3;2;1;5;10;75;10;0;0;2116
CH;Z05;1;2;4;20;50;0;50;23;0;1775
CH;Z05;2;1;0;5;30;50;20;4;0;1785
CH;Z05;3;1;0;5;70;0;30;4;0;1935
CH;Z05;4;1;0;5;30;10;50;0;0;2024
CH;Z09;1;2;5;80;40;10;5;123;6;1753
CH;Z09;2;2;1;10;90;0;10;8;0;1819
CH;Z09;3;2;0;5;95;0;5;5;0;1875
CH;Z09;4;1;0;10;90;0;10;0;0;1945
CH;Z10;1;1;0;60;30;0;10;36;0;1821
CH;Z10;2;1;1;50;30;20;5;103;0;1904
CH;Z10;3;1;0;20;80;0;20;30;3;1979
CH;Z10;4;1;0;60;50;10;5;91;1;2069
CH;Z10;5;1;0;50;70;10;10;14;0;2108
CH;Z11;2;1;0;5;40;50;10;0;0;1910
